comparison,dataset,split,model,B>O,O>B,net_gain,chi_square,p_value,significant_p_0.05
ours_vs_concrete,xfact,Indomain,gemma,294,1225,931,569.3877551020408,0.0,Yes
ours_vs_concrete,xfact,Indomain,llama,260,1084,824,503.9650297619048,0.0,Yes
ours_vs_concrete,xfact,Indomain,mistral,290,1186,896,542.699864498645,0.0,Yes
ours_vs_concrete,xfact,ood,gemma,235,563,328,133.99624060150376,0.0,Yes
ours_vs_concrete,xfact,ood,llama,199,568,369,176.5632333767927,0.0,Yes
ours_vs_concrete,xfact,ood,mistral,180,588,408,215.68880208333331,0.0,Yes
ours_vs_concrete,xfact,zeroshot,gemma,357,734,377,129.58386801099908,0.0,Yes
ours_vs_concrete,xfact,zeroshot,llama,337,721,384,138.64744801512288,0.0,Yes
ours_vs_concrete,xfact,zeroshot,mistral,365,669,304,88.79013539651838,0.0,Yes
ours_vs_google_snippet,xfact,Indomain,gemma,356,1052,696,343.05752840909093,0.0,Yes
ours_vs_google_snippet,xfact,Indomain,llama,320,1145,825,463.4648464163823,0.0,Yes
ours_vs_google_snippet,xfact,Indomain,mistral,359,1031,672,323.91438848920865,0.0,Yes
ours_vs_google_snippet,xfact,ood,gemma,227,503,276,103.5958904109589,0.0,Yes
ours_vs_google_snippet,xfact,ood,llama,246,522,276,98.47005208333331,0.0,Yes
ours_vs_google_snippet,xfact,ood,mistral,184,466,282,121.47846153846154,0.0,Yes
ours_vs_google_snippet,xfact,zeroshot,gemma,417,515,98,10.09549356223176,0.0014863234675615,Yes
ours_vs_google_snippet,xfact,zeroshot,llama,349,646,297,88.05628140703517,0.0,Yes
ours_vs_google_snippet,xfact,zeroshot,mistral,364,622,258,66.9868154158215,2.220446049250313e-16,Yes
ours_vs_llm,ru22fact,test,gemma,46,246,200,135.61986301369862,0.0,Yes
ours_vs_llm,ru22fact,test,llama,44,261,217,152.9704918032787,0.0,Yes
ours_vs_llm,ru22fact,test,mistral,41,253,212,151.43197278911563,0.0,Yes
ours_vs_semantic,ru22fact,test,gemma,31,136,105,64.76646706586827,8.881784197001252e-16,Yes
ours_vs_semantic,ru22fact,test,llama,41,147,106,58.6436170212766,1.887379141862766e-14,Yes
ours_vs_semantic,ru22fact,test,mistral,41,144,103,56.23783783783784,6.417089082333406e-14,Yes
ours_vs_semantic,xfact,Indomain,gemma,306,487,181,40.85750315258512,1.63743352210588e-10,Yes
ours_vs_semantic,xfact,Indomain,llama,255,410,155,35.66315789473684,2.3455823949802834e-09,Yes
ours_vs_semantic,xfact,Indomain,mistral,290,497,207,53.92121982210928,2.0872192862952945e-13,Yes
ours_vs_semantic,xfact,ood,gemma,187,329,142,38.52906976744186,5.394418245430187e-10,Yes
ours_vs_semantic,xfact,ood,llama,171,298,127,33.850746268656714,5.950626214001886e-09,Yes
ours_vs_semantic,xfact,ood,mistral,198,229,31,2.107728337236534,0.1465567356661073,No
ours_vs_semantic,xfact,zeroshot,gemma,303,371,68,6.660237388724036,0.009858778129586,Yes
ours_vs_semantic,xfact,zeroshot,llama,273,394,121,21.58920539730135,3.37747387557652e-06,Yes
ours_vs_semantic,xfact,zeroshot,mistral,322,389,67,6.1265822784810124,0.0133164050197123,Yes
ours_vs_sentence,ru22fact,test,gemma,33,283,250,196.20569620253164,0.0,Yes
ours_vs_sentence,ru22fact,test,llama,37,297,260,200.84131736526948,0.0,Yes
ours_vs_sentence,ru22fact,test,mistral,32,294,262,208.9601226993865,0.0,Yes
ours_vs_sentence,xfact,Indomain,gemma,310,465,155,30.601290322580645,3.168829321165134e-08,Yes
ours_vs_sentence,xfact,Indomain,llama,273,433,160,35.80878186968839,2.176645530482801e-09,Yes
ours_vs_sentence,xfact,Indomain,mistral,283,408,125,22.251808972503618,2.3913338915715343e-06,Yes
ours_vs_sentence,xfact,ood,gemma,212,344,132,30.865107913669064,2.7660039259025385e-08,Yes
ours_vs_sentence,xfact,ood,llama,208,241,33,2.2806236080178173,0.1309991918084337,No
ours_vs_sentence,xfact,ood,mistral,158,297,139,41.854945054945055,9.830181113557046e-11,Yes
ours_vs_sentence,xfact,zeroshot,gemma,364,367,3,0.0054719562243502,0.9410321301383472,No
ours_vs_sentence,xfact,zeroshot,llama,259,402,143,30.505295007564296,3.329565056997552e-08,Yes
ours_vs_sentence,xfact,zeroshot,mistral,347,465,118,16.858374384236452,4.027522751970381e-05,Yes
